Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity,Ratio_Unique_Pieces,Ratio_Pages_Pieces,Theme_Complexity_Score,Combined_Score
Han Solo,Star Wars,101.0,24.99,44.0,55.0,normale,0.5445544554455446,0.43564356435643564,2,0.9933993399339934
Shuttle Transporter,Creator 3-in-1,341.0,24.99,268.0,122.0,avanserte,0.35777126099706746,0.7859237536656891,3,1.381231671554252
Alphabet Truck,DUPLO,36.0,24.99,1.0,35.0,enkle,0.9722222222222222,0.027777777777777776,1,0.6666666666666666
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,10.0,enkle,0.38461538461538464,0.6153846153846154,1,0.6666666666666666
Mining Team,City,82.0,9.99,32.0,64.0,normale,0.7804878048780488,0.3902439024390244,2,1.056910569105691
Elsa's Market Adventure,Disney,125.0,19.99,48.0,78.0,normale,0.624,0.384,2,1.0026666666666666
Drone Chase,City,192.0,29.99,100.0,112.0,normale,0.5833333333333334,0.5208333333333334,2,1.0347222222222223
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,normale,0.5760869565217391,0.5217391304347826,2,1.0326086956521738
Airport,DUPLO,29.0,24.99,20.0,24.0,enkle,0.8275862068965517,0.6896551724137931,1,0.8390804597701149
Minecraft Alex BigFig with Chicken,Minecraft,160.0,14.99,40.0,70.0,normale,0.4375,0.25,2,0.8958333333333334
Cherry Picker,Technic,155.0,9.99,40.0,51.0,avanserte,0.32903225806451614,0.25806451612903225,3,1.1956989247311827
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0,normale,0.3979591836734694,0.2585034013605442,2,0.8854875283446711
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,38.0,normale,0.7307692307692307,0.6923076923076923,2,1.141025641025641
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,104.0,normale,0.5977011494252874,0.367816091954023,2,0.9885057471264368
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,101.0,normale,0.4297872340425532,0.28936170212765955,2,0.9063829787234043
Kylo Ren,Star Wars,130.0,9.99,40.0,50.0,normale,0.38461538461538464,0.3076923076923077,2,0.8974358974358975
Kayak Adventure,City,84.0,9.99,36.0,48.0,normale,0.5714285714285714,0.42857142857142855,2,1.0
Plane,DUPLO,12.0,9.99,10.0,11.0,enkle,0.9166666666666666,0.8333333333333334,1,0.9166666666666666
Airshow Jet,City,87.0,9.99,56.0,53.0,normale,0.6091954022988506,0.6436781609195402,2,1.0842911877394636
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,45.0,normale,0.4891304347826087,0.43478260869565216,2,0.9746376811594203
Star-Lord,BrickHeadz,113.0,9.99,40.0,51.0,normale,0.45132743362831856,0.35398230088495575,2,0.9351032448377582
Dock Side Fire,City,97.0,19.99,48.0,63.0,normale,0.6494845360824743,0.4948453608247423,2,1.0481099656357389
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,160.0,normale,0.47761194029850745,0.33432835820895523,2,0.9373134328358209
Fire Helicopter Response,City,93.0,29.99,44.0,61.0,normale,0.6559139784946236,0.4731182795698925,2,1.043010752688172
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,101.0,normale,0.38113207547169814,0.19622641509433963,2,0.8591194968553459
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,78.0,normale,0.6724137931034483,0.6206896551724138,2,1.0977011494252873
Racing Cars,City,190.0,29.99,84.0,101.0,normale,0.531578947368421,0.4421052631578947,2,0.9912280701754387
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,119.0,normale,0.34195402298850575,0.26436781609195403,2,0.8687739463601533
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,110.0,normale,0.6918238993710691,0.6289308176100629,2,1.1069182389937107
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,96.0,normale,0.5714285714285714,0.5952380952380952,2,1.0555555555555556
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,150.0,normale,0.4838709677419355,0.34838709677419355,2,0.9440860215053762
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0,normale,0.4409937888198758,0.45962732919254656,2,0.9668737060041407
Underwater Loop,Friends,389.0,29.99,76.0,165.0,normale,0.4241645244215938,0.1953727506426735,2,0.8731790916880892
Fire Chief Response Truck,City,201.0,29.99,84.0,98.0,normale,0.48756218905472637,0.417910447761194,2,0.9684908789386402
Windows of Creativity,Classic,450.0,29.99,85.0,153.0,enkle,0.34,0.18888888888888888,1,0.5096296296296297
Rover Testing Drive,City,202.0,29.99,96.0,98.0,normale,0.48514851485148514,0.4752475247524752,2,0.9867986798679867
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0,normale,0.4515235457063712,0.2770083102493075,2,0.9095106186518929
The Blaze Bridge,Minecraft,372.0,29.99,108.0,127.0,normale,0.34139784946236557,0.2903225806451613,2,0.8772401433691757
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0,normale,0.33263598326359833,0.2594142259414226,2,0.8640167364016736
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0,normale,0.4263959390862944,0.30456852791878175,2,0.9103214890016921
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,112.0,normale,0.4163568773234201,0.31226765799256506,2,0.909541511771995
Mia's Organic Food Market,Friends,115.0,19.99,56.0,70.0,normale,0.6086956521739131,0.48695652173913045,2,1.0318840579710145
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,121.0,normale,0.484,0.272,2,0.9186666666666667
Bracelet Mega Pack,DOTS,300.0,24.99,2.0,39.0,normale,0.13,0.006666666666666667,2,0.7122222222222222
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,47.0,normale,0.5164835164835165,0.43956043956043955,2,0.9853479853479854
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0,normale,0.6231884057971014,0.463768115942029,2,1.0289855072463767
Pteranodon Escape,Juniors,84.0,19.99,56.0,60.0,enkle,0.7142857142857143,0.6666666666666666,1,0.7936507936507936
The Pillager Outpost,Minecraft,303.0,29.99,68.0,94.0,normale,0.3102310231023102,0.22442244224422442,2,0.8448844884488449
The Menace of Mysterio,Marvel,163.0,29.99,128.0,97.0,normale,0.5950920245398773,0.7852760736196319,2,1.1267893660531698
Minecraft Skeleton BigFig with Magma Cube,Minecraft,142.0,14.99,40.0,56.0,normale,0.39436619718309857,0.28169014084507044,2,0.892018779342723
Monster Truck,City,192.0,19.99,76.0,76.0,normale,0.3958333333333333,0.3958333333333333,2,0.9305555555555555
Brick Box,DUPLO,65.0,29.99,20.0,46.0,enkle,0.7076923076923077,0.3076923076923077,1,0.6717948717948717
Police Highway Arrest,City,185.0,29.99,108.0,98.0,normale,0.5297297297297298,0.5837837837837838,2,1.037837837837838
My First Animal Brick Box,DUPLO,34.0,29.99,9.0,29.0,enkle,0.8529411764705882,0.2647058823529412,1,0.7058823529411765
Super Heroes Lab,DUPLO,30.0,29.99,16.0,23.0,enkle,0.7666666666666667,0.5333333333333333,1,0.7666666666666666
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0,normale,0.6100917431192661,0.29357798165137616,2,0.9678899082568808
Nature Glamping,Friends,241.0,29.99,72.0,110.0,normale,0.45643153526970953,0.2987551867219917,2,0.9183955739972337
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0,normale,0.4125874125874126,0.27972027972027974,2,0.8974358974358975
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,185.0,normale,0.5522388059701493,0.29850746268656714,2,0.9502487562189055
Race Boat Transporter,City,238.0,29.99,124.0,123.0,normale,0.5168067226890757,0.5210084033613446,2,1.0126050420168067
Wild River Escape,City,126.0,19.99,56.0,71.0,normale,0.5634920634920635,0.4444444444444444,2,1.0026455026455026
Service & Care Truck,Friends,247.0,19.99,84.0,123.0,normale,0.4979757085020243,0.340080971659919,2,0.9460188933873145
War Machine Buster,Marvel,362.0,34.99,64.0,122.0,normale,0.3370165745856354,0.17679558011049723,2,0.8379373848987108
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,198.0,normale,0.46261682242990654,0.3644859813084112,2,0.9423676012461059
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,111.0,normale,0.4493927125506073,0.340080971659919,2,0.9298245614035089
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0,normale,0.4327485380116959,0.3508771929824561,2,0.9278752436647174
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,53.0,normale,0.5463917525773195,0.3711340206185567,2,0.9725085910652921
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,118.0,normale,0.59,0.34,2,0.9766666666666666
Mythical Creatures,Creator 3-in-1,223.0,14.99,189.0,66.0,avanserte,0.29596412556053814,0.8475336322869955,3,1.3811659192825114
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,90.0,normale,0.45226130653266333,0.3015075376884422,2,0.9179229480737018
RV Vacation,Disney,178.0,34.99,72.0,106.0,normale,0.5955056179775281,0.4044943820224719,2,1.0
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,47.0,normale,0.5949367088607594,0.08860759493670886,2,0.8945147679324895
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,83.0,normale,0.43455497382198954,0.35602094240837695,2,0.9301919720767889
Stephanie's Bedroom,Friends,95.0,9.99,44.0,72.0,normale,0.7578947368421053,0.4631578947368421,2,1.0736842105263158
Race Plane,Creator 3-in-1,333.0,29.99,200.0,134.0,avanserte,0.4024024024024024,0.6006006006006006,3,1.3343343343343343
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,108.0,normale,0.5595854922279793,0.3316062176165803,2,0.9637305699481865
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,94.0,normale,0.4351851851851852,0.42592592592592593,2,0.9537037037037037
Anakin's Podracer  20th Anniversary Edition,Star Wars,279.0,29.99,84.0,110.0,normale,0.3942652329749104,0.3010752688172043,2,0.8984468339307049
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0,normale,0.23711340206185566,0.32989690721649484,2,0.8556701030927835
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0,normale,0.2222222222222222,0.27350427350427353,2,0.8319088319088319
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,88.0,normale,0.5238095238095238,0.35714285714285715,2,0.9603174603174603
Minecraft Steve BigFig with Parrot,Minecraft,159.0,14.99,40.0,74.0,normale,0.46540880503144655,0.25157232704402516,2,0.9056603773584907
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,104.0,normale,0.4406779661016949,0.3050847457627119,2,0.9152542372881355
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0,normale,0.5735294117647058,0.47058823529411764,2,1.0147058823529411
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0,normale,0.21585903083700442,0.24669603524229075,2,0.8208516886930983
Aragog's Lair,Harry Potter,157.0,14.99,56.0,82.0,normale,0.5222929936305732,0.35668789808917195,2,0.9596602972399152
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,100.0,normale,0.4032258064516129,0.27419354838709675,2,0.8924731182795699
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,88.0,normale,0.46808510638297873,0.3829787234042553,2,0.9503546099290779
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,72.0,normale,0.7128712871287128,0.7524752475247525,2,1.155115511551155
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,121.0,normale,0.4782608695652174,0.33201581027667987,2,0.9367588932806324
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,136.0,normale,0.3665768194070081,0.22641509433962265,2,0.8643306379155437
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,149.0,normale,0.5050847457627119,0.31186440677966104,2,0.9389830508474576
Newbury Subway,Hidden Side,348.0,29.99,108.0,146.0,normale,0.41954022988505746,0.3103448275862069,2,0.9099616858237548
Emma's Fashion Shop,Friends,343.0,29.99,112.0,152.0,normale,0.44314868804664725,0.32653061224489793,2,0.9232264334305151
Panda Jungle Tree House,Friends,265.0,29.99,120.0,149.0,normale,0.5622641509433962,0.4528301886792453,2,1.0050314465408805
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0,normale,0.3292035398230089,0.22654867256637168,2,0.8519174041297936
BASH!,Technic,139.0,19.99,127.0,46.0,avanserte,0.33093525179856115,0.9136690647482014,3,1.4148681055155876
Bakery,DUPLO,46.0,34.99,20.0,33.0,enkle,0.717391304347826,0.43478260869565216,1,0.7173913043478262
Police Station,DUPLO,38.0,29.99,22.0,25.0,enkle,0.6578947368421053,0.5789473684210527,1,0.7456140350877193
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0,normale,0.5409836065573771,0.5245901639344263,2,1.0218579234972678
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,48.0,normale,0.4444444444444444,0.3333333333333333,2,0.9259259259259259
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,65.0,normale,0.49242424242424243,0.48484848484848486,2,0.9924242424242425
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,115.0,normale,0.4713114754098361,0.32786885245901637,2,0.9330601092896176
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0,normale,0.23711340206185566,0.32989690721649484,2,0.8556701030927835
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,55.0,enkle,0.5978260869565217,0.43478260869565216,1,0.677536231884058
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,37.0,normale,0.6981132075471698,0.4716981132075472,2,1.0566037735849056
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0,normale,0.43349753694581283,0.2955665024630542,2,0.909688013136289
Off-Road Chase,City,37.0,6.99,20.0,28.0,normale,0.7567567567567568,0.5405405405405406,2,1.0990990990990992
Queen Watevra's Build Whatever Box!,THE LEGO MOVIE 2,455.0,39.99,262.0,112.0,normale,0.24615384615384617,0.5758241758241758,2,0.9406593406593405
Turtles Rescue Mission,Friends,225.0,19.99,72.0,125.0,normale,0.5555555555555556,0.32,2,0.9585185185185185
Parachute Arrest,City,218.0,39.99,120.0,139.0,normale,0.6376146788990825,0.5504587155963303,2,1.062691131498471
City Advent Calendar,City,234.0,29.99,3.0,161.0,normale,0.688034188034188,0.01282051282051282,2,0.9002849002849004
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,68.0,normale,0.5396825396825397,0.3492063492063492,2,0.9629629629629629
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,192.0,normale,0.5289256198347108,0.31955922865013775,2,0.9494949494949495
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,98.0,normale,0.41702127659574467,0.39148936170212767,2,0.9361702127659575
People Pack - Fun Fair,City,183.0,39.99,64.0,138.0,normale,0.7540983606557377,0.34972677595628415,2,1.034608378870674
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,89.0,normale,0.2966666666666667,0.32,2,0.8722222222222222
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0,normale,0.3412887828162291,0.2577565632458234,2,0.8663484486873508
Mars Research Shuttle,City,273.0,39.99,160.0,135.0,normale,0.4945054945054945,0.5860805860805861,2,1.026862026862027
The Knight Bus,Harry Potter,403.0,39.99,84.0,128.0,normale,0.3176178660049628,0.20843672456575682,2,0.8420181968569066
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0,normale,0.3779697624190065,0.1900647948164147,2,0.8560115190784737
My First Emotions,DUPLO,28.0,19.99,9.0,24.0,enkle,0.8571428571428571,0.32142857142857145,1,0.7261904761904763
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,82.0,normale,0.5290322580645161,0.3870967741935484,2,0.9720430107526882
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,106.0,normale,0.4608695652173913,0.22608695652173913,2,0.8956521739130435
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,175.0,normale,0.45219638242894056,0.31007751937984496,2,0.9207579672695951
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,97.0,normale,0.5843373493975904,0.2891566265060241,2,0.9578313253012049
Road Repair Truck,Juniors,73.0,9.99,32.0,50.0,enkle,0.684931506849315,0.4383561643835616,1,0.7077625570776256
Heartlake City Supermarket,Friends,140.0,29.99,68.0,90.0,normale,0.6428571428571429,0.4857142857142857,2,1.042857142857143
Katana V11,NINJAGO,257.0,19.99,84.0,111.0,normale,0.43190661478599224,0.32684824902723736,2,0.9195849546044098
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,77.0,enkle,0.8105263157894737,0.6736842105263158,1,0.8280701754385964
Rescue Helicopter,Technic,325.0,39.99,181.0,81.0,avanserte,0.24923076923076923,0.556923076923077,3,1.2687179487179487
Belle's Story Time,Juniors,87.0,14.99,44.0,66.0,enkle,0.7586206896551724,0.5057471264367817,1,0.7547892720306514
Thanos,BrickHeadz,105.0,9.99,32.0,37.0,normale,0.3523809523809524,0.3047619047619048,2,0.8857142857142858
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,82.0,normale,0.656,0.512,2,1.056
City Advent Calendar,City,313.0,29.99,4.0,194.0,normale,0.6198083067092651,0.012779552715654952,2,0.8775292864749734
Friends Advent Calendar,Friends,500.0,29.99,4.0,202.0,normale,0.404,0.008,2,0.8039999999999999
Arctic Ice Crawler,City,200.0,24.99,92.0,80.0,normale,0.4,0.46,2,0.9533333333333335
Burger Bar Fire Rescue,City,327.0,39.99,164.0,153.0,normale,0.46788990825688076,0.5015290519877675,2,0.9898063200815495
My First Puzzle Pets,DUPLO,18.0,9.99,9.0,16.0,enkle,0.8888888888888888,0.5,1,0.7962962962962963
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0,normale,0.40437158469945356,0.32786885245901637,2,0.9107468123861566
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,52.0,normale,0.47706422018348627,0.3669724770642202,2,0.9480122324159023
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,130.0,normale,0.3504043126684636,0.22641509433962265,2,0.8589398023360287
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0,normale,0.3979591836734694,0.2857142857142857,2,0.8945578231292517
Forest Tractor,City,174.0,19.99,64.0,77.0,normale,0.4425287356321839,0.367816091954023,2,0.9367816091954023
Mia's Horse Trailer,Friends,216.0,29.99,76.0,119.0,normale,0.5509259259259259,0.35185185185185186,2,0.9675925925925926
Andrea's Bedroom,Friends,85.0,9.99,44.0,60.0,normale,0.7058823529411765,0.5176470588235295,2,1.0745098039215686
Mountain Police Chase,Juniors,115.0,19.99,64.0,85.0,enkle,0.7391304347826086,0.5565217391304348,1,0.7652173913043478
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,86.0,avanserte,0.43,0.6,3,1.3433333333333335
Rocket Rally Car,Creator 3-in-1,241.0,19.99,148.0,104.0,avanserte,0.4315352697095436,0.6141078838174274,3,1.3485477178423235
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,163.0,enkle,0.45403899721448465,0.36768802228412256,1,0.6072423398328691
Police Helicopter Chase,City,212.0,39.99,128.0,127.0,normale,0.5990566037735849,0.6037735849056604,2,1.0676100628930818
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,168.0,normale,0.49851632047477745,0.29673590504451036,2,0.9317507418397626
Baking Competition,Friends,361.0,39.99,104.0,157.0,normale,0.43490304709141275,0.2880886426592798,2,0.9076638965835642
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0,normale,0.35173824130879344,0.22085889570552147,2,0.8575323790047716
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,82.0,normale,0.47126436781609193,0.367816091954023,2,0.946360153256705
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,114.0,normale,0.3333333333333333,0.23391812865497075,2,0.8557504873294347
Friends Advent Calendar,Friends,330.0,29.99,2.0,158.0,normale,0.47878787878787876,0.006060606060606061,2,0.8282828282828283
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0,normale,0.6535087719298246,0.3333333333333333,2,0.9956140350877193
Bricks and Gears,Classic,244.0,19.99,124.0,94.0,enkle,0.38524590163934425,0.5081967213114754,1,0.6311475409836066
The Skull Arena,Minecraft,198.0,19.99,68.0,68.0,normale,0.3434343434343434,0.3434343434343434,2,0.8956228956228957
Mia's Bedroom,Friends,86.0,9.99,48.0,63.0,normale,0.7325581395348837,0.5581395348837209,2,1.0968992248062015
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,126.0,normale,0.3652173913043478,0.2782608695652174,2,0.881159420289855
Chewbacca,Star Wars,149.0,9.99,40.0,52.0,normale,0.348993288590604,0.2684563758389262,2,0.87248322147651
Farmers' Market,DUPLO,26.0,19.99,9.0,18.0,enkle,0.6923076923076923,0.34615384615384615,1,0.6794871794871794
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,52.0,normale,0.4406779661016949,0.3389830508474576,2,0.9265536723163841
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,98.0,normale,0.6533333333333333,0.64,2,1.0977777777777777
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,103.0,normale,0.3828996282527881,0.2825278810408922,2,0.8884758364312267
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,97.0,normale,0.485,0.34,2,0.9416666666666668
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,103.0,avanserte,0.4577777777777778,0.6577777777777778,3,1.3718518518518519
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,54.0,normale,0.5294117647058824,0.3137254901960784,2,0.9477124183006537
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,78.0,normale,0.43575418994413406,0.3128491620111732,2,0.9162011173184358
The Bat-Dune Buggy,DC,198.0,19.99,64.0,92.0,normale,0.46464646464646464,0.32323232323232326,2,0.9292929292929294
Ambulance Helicopter,City,190.0,19.99,84.0,108.0,normale,0.5684210526315789,0.4421052631578947,2,1.0035087719298246
LEGO Movie Maker,THE LEGO MOVIE 2,482.0,49.99,96.0,243.0,normale,0.504149377593361,0.1991701244813278,2,0.901106500691563
Creative Tuning Shop,Friends,413.0,39.99,108.0,217.0,normale,0.5254237288135594,0.26150121065375304,2,0.9289749798224375
Dorado Showdown,Overwatch,419.0,29.99,124.0,168.0,normale,0.4009546539379475,0.29594272076372313,2,0.8989657915672234
Stormtrooper,Star Wars,124.0,9.99,32.0,51.0,normale,0.4112903225806452,0.25806451612903225,2,0.8897849462365591
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,44.0,normale,0.21153846153846154,0.25,2,0.8205128205128206
Dozer Compactor,Technic,171.0,19.99,100.0,62.0,avanserte,0.36257309941520466,0.5847953216374269,3,1.3157894736842104
Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,430.0,49.99,84.0,160.0,normale,0.37209302325581395,0.19534883720930232,2,0.8558139534883721
Star Wars Advent Calendar,Star Wars,307.0,39.99,4.0,186.0,normale,0.6058631921824105,0.013029315960912053,2,0.8729641693811075
My First Celebration,DUPLO,41.0,14.99,9.0,18.0,enkle,0.43902439024390244,0.21951219512195122,1,0.5528455284552846
Rhino Face-Off by the Mine,Marvel,229.0,19.99,88.0,100.0,normale,0.4366812227074236,0.38427947598253276,2,0.9403202328966521
Iron Man Hulkbuster versus A.I.M. Agent,Marvel,456.0,39.99,80.0,143.0,normale,0.31359649122807015,0.17543859649122806,2,0.8296783625730995
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,168.0,normale,0.4421052631578947,0.24210526315789474,2,0.8947368421052632
Tiger Hot Air Balloon Jungle Rescue,Friends,302.0,39.99,116.0,145.0,normale,0.48013245033112584,0.3841059602649007,2,0.9547461368653423
Avengers Truck Take-down,Marvel,477.0,39.99,116.0,164.0,normale,0.3438155136268344,0.2431865828092243,2,0.8623340321453529
Ocean Exploration Submarine,City,286.0,39.99,141.0,131.0,normale,0.458041958041958,0.493006993006993,2,0.9836829836829836
Townhouse Toy Store,Creator 3-in-1,554.0,39.99,268.0,194.0,avanserte,0.35018050541516244,0.48375451263537905,3,1.2779783393501805
Space Rover Explorer,Creator 3-in-1,510.0,39.99,276.0,206.0,avanserte,0.403921568627451,0.5411764705882353,3,1.315032679738562
Riverside Houseboat,Creator 3-in-1,396.0,39.99,200.0,157.0,avanserte,0.39646464646464646,0.5050505050505051,3,1.3005050505050504
Iron Man MK50,BrickHeadz,101.0,9.99,32.0,41.0,normale,0.40594059405940597,0.31683168316831684,2,0.9075907590759075
Rebel A-wing Starfighter,Star Wars,62.0,14.99,36.0,44.0,normale,0.7096774193548387,0.5806451612903226,2,1.0967741935483872
Rapunzel's Castle Bedroom,Disney,156.0,19.99,56.0,93.0,normale,0.5961538461538461,0.358974358974359,2,0.9850427350427351
Zane's Ninja Boat Pursuit,Juniors,131.0,19.99,64.0,78.0,enkle,0.5954198473282443,0.48854961832061067,1,0.6946564885496184
Stephanie's Gymnastics Show,Friends,241.0,29.99,76.0,114.0,normale,0.4730290456431535,0.3153526970954357,2,0.929460580912863
The Redstone Battle,Minecraft,504.0,39.99,88.0,133.0,normale,0.2638888888888889,0.1746031746031746,2,0.8128306878306878
Creative Fun,Classic,900.0,39.99,90.0,231.0,enkle,0.25666666666666665,0.1,1,0.45222222222222225
Catamaran,Technic,404.0,49.99,100.0,74.0,avanserte,0.18316831683168316,0.24752475247524752,3,1.1435643564356435
Spider Mech vs. Venom ,Marvel,604.0,49.99,104.0,203.0,normale,0.3360927152317881,0.17218543046357615,2,0.836092715231788
Pasaana Speeder Chase,Star Wars,373.0,39.99,116.0,177.0,normale,0.4745308310991957,0.3109919571045576,2,0.9285075960679178
Enchanted Tree House,LEGO Frozen 2,302.0,49.99,120.0,174.0,normale,0.5761589403973509,0.3973509933774834,2,0.9911699779249448
Pop Village Celebration,Trolls World Tour,380.0,49.99,120.0,205.0,normale,0.5394736842105263,0.3157894736842105,2,0.9517543859649122
Haunted Fairground,Hidden Side,466.0,49.99,124.0,212.0,normale,0.45493562231759654,0.26609442060085836,2,0.9070100143061516
Shrimp Shack Attack,Hidden Side,578.0,49.99,128.0,293.0,normale,0.5069204152249135,0.22145328719723184,2,0.9094579008073818
Newbury Abandoned Prison,Hidden Side,400.0,39.99,132.0,164.0,normale,0.41,0.33,2,0.9133333333333334
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,481.0,49.99,64.0,187.0,normale,0.3887733887733888,0.13305613305613306,2,0.8406098406098407
Superman & Krypto Team-Up,DC,199.0,19.99,76.0,110.0,normale,0.5527638190954773,0.38190954773869346,2,0.9782244556113903
Black Ace TIE Interceptor,Star Wars,396.0,49.99,84.0,161.0,normale,0.4065656565656566,0.21212121212121213,2,0.8728956228956228
Andrea's Pool Party,Friends,468.0,49.99,112.0,221.0,normale,0.4722222222222222,0.23931623931623933,2,0.9038461538461539
Garage Centre,City,234.0,49.99,116.0,62.0,normale,0.26495726495726496,0.49572649572649574,2,0.9202279202279202
AT-ST Raider,Star Wars,540.0,49.99,120.0,211.0,normale,0.3907407407407407,0.2222222222222222,2,0.8709876543209877
